text,created_at,n_words,party,bias-1,positive-1,figurative-0,offensive-1
@realDonaldTrump where is your psych evaluation?  You need serious professional help #mentalillness,2017-02-17 11:51:36,6,Rep,0.3100369274616241,0.05516395,0.6585488319396973,0.3006792664527893
@realDonaldTrump that's the point you're at? Rush Limbaugh? Tick tock..,2017-02-17 11:51:38,5,Rep,0.15463054180145264,0.4693271,0.3159219026565552,0.864894449710846
@realDonaldTrump Listening to Rush and @foxandfriends is not going to let you get feel of the % of America that did… https://t.co/Sm8z2qskXt,2017-02-17 11:51:50,8,Rep,0.6350662708282471,0.014165013,0.39333245158195496,0.0814812034368515
@realDonaldTrump Thank you for all the nice statements on the B-H Conference yesterday. Boba said one of the best ever! Fake B-Hs not happy!,2017-02-17 11:51:59,17,Rep,0.34494003653526306,0.007021891999999999,0.4052254557609558,0.04087650403380394
@peddoc63 @realDonaldTrump enjoy reading your tweets very smart and informative😄🇺🇸,2017-02-17 11:52:00,5,Rep,0.18540629744529724,0.089225695,0.40630874037742615,0.05698278546333312
@Channel4News @BBCNewsnight are not happy. Why are UK public broadcasters so obsessed with someone else's President… https://t.co/I91gpoL9Pf,2017-02-17 11:52:07,9,Nothing,0.06428242474794388,0.02004213,0.4908379018306732,0.13097018003463745
@VicenteFoxQue @realDonaldTrump 🦊=🐷 part of the mess is all of 🇲🇽 criminals that 🇲🇽 won't take back you are a drug cartel puppet BIG MOUTH,2017-02-17 11:52:24,10,Rep,0.5064218044281006,0.0015724218,0.7198739647865295,0.9228085279464722
We don't see or feel any tiny change since Trump over took except crisis on passengers. Just talk. Americans expect… https://t.co/SePupzG0VA,2017-02-17 11:52:29,13,Rep,0.18658027052879333,0.0017156505,0.7718019485473633,0.24999475479125974
@realdonaldtrump Please mr president remember my people (biafrans) who are in bondage,2017-02-17 11:52:31,7,Nothing,0.31684836745262146,0.2883456,0.5025043487548828,0.08155980706214905
".@realDonaldTrump What are you replacing it with, Donny-boy, hmmm? Do you even have a fucking clue you festering scrotal cyst?",2017-02-17 11:52:34,10,Rep,0.08836863934993744,0.00055347953,0.2901108264923096,0.9825469851493835
@IngrahamAngle @Morning_Joe @realDonaldTrump That's because they are part of the Tabloid News media. Fake news at it's best.,2017-02-17 11:52:47,7,Rep,0.21878652274608607,0.0033752038,0.17925244569778442,0.1524345427751541
"@realDonaldTrump President Trump gave the media a smack down, watch it 5 times it was so funny how he treated them like kids",2017-02-17 11:52:59,12,Rep,0.5414403080940247,0.010678337,0.7651491165161133,0.4393419921398163
"The fact that Rush said it tho, makes me nervous https://t.co/m67gLTeD1o",2017-02-17 11:53:07,6,Nothing,0.17652933299541473,0.0036212485,0.5568047761917114,0.10640378296375276
"@realDonaldTrump it's sad , vicious cycle , we badly need peace",2017-02-17 11:53:19,6,Rep,0.12660789489746094,0.11344014,0.940493941307068,0.3695415854454041
@pastormarkburns @HillaryClinton nevermind that hillary has decades of work helping the african american community,2016-08-30 14:41:43,8,Dem,0.22487345337867734,0.13527545,0.7386223077774048,0.0953197255730629
@bilalabaloch @realDonaldTrump gravity is real but Newtons articulation of it was fake!,2017-02-17 08:47:17,5,Rep,0.3565290570259094,0.007345366999999999,0.6507911682128906,0.4755000472068786
"@realDonaldTrump PATHETIC! SEND YOUR KIDS TO LIVE &amp; SURVIVE IN A COAL MINE! WHAT A JERK,YOU ARE NUTS!",2017-02-17 08:47:45,10,Rep,0.11487479507923125,0.00029449517000000006,0.3205160200595856,0.9620835185050964
@TheSciBabe @realDonaldTrump &amp; congress is not letting go.. they want to get to the truth.,2017-02-17 08:48:32,8,Rep,0.3427060544490814,0.011242938000000001,0.7763445377349854,0.11221697181463243
"@POTUS @realDonaldTrump You are getting played like a skin flute at Ron Jeremy's sex club by Pootin, Ban-non, and your other cons.",2017-02-17 08:48:37,13,Rep,0.046862788498401635,0.0006330766,0.18359507620334625,0.3211536705493927
@CNNMoney @realDonaldTrump maybe if you would tell the truth he wouldn't have to fight you and criticize you. #thetrumpstersseewhatsgoingon,2017-02-17 08:48:54,6,Rep,0.2163201868534088,0.0062605985,0.4937840104103088,0.16972056031227112
@williamlegate @realDonaldTrump I'd take Nixon back instead of this circus. Gladly!,2017-02-17 08:49:06,6,Rep,0.3208754062652588,0.003001916,0.7337521910667419,0.4061382710933685
"@realDonaldTrump Rush is a loud mouth looney. You give #AlternativeFacts and are a hypocrite.  Sad, very sad.",2017-02-17 11:51:38,8,Rep,0.25866445899009705,0.45363059999999994,0.4937120974063873,0.9245241284370422
"@realDonaldTrump This will be your Viet Nam. Many will die, nothing will be achieved, all will blame you. I am on ACA. You are a bad man.",2017-02-17 11:51:43,10,Rep,0.28645113110542303,6.904091e-06,0.8022385835647583,0.3981882035732269
"You are a joke, an embarrassment, and so is @gatewaypundit Securing press credentials from @realDonaldTrump proves… https://t.co/tiBb97mE9l",2017-02-17 11:51:47,6,Rep,0.1032516434788704,0.0033388818,0.634243369102478,0.4581692516803742
@realDonaldTrump It was so great. Especially when you compared your administration to a fine-tuned machine! https://t.co/7MMZM8XqNw,2017-02-17 11:51:57,7,Rep,0.2715812027454376,0.5290629,0.44498273730278015,0.14896133542060852
@Stonewall_77 @drscott_atlanta @CarmineZozzora @bfraser747 @realDonaldTrump Thank God we have a President now who cares! Ths 4 ur sacrafice!,2017-02-17 11:51:58,8,Rep,0.2725772559642792,0.020651273,0.9075999855995178,0.029578259214758876
Well gosh if Rush said it was great... https://t.co/vlz436YLqb,2017-02-17 11:52:01,5,Nothing,0.34309840202331543,0.5989816,0.17484523355960846,0.02715804055333137
@realDonaldTrump @FoxNews Poll: Trump's approval rating at 39 percent 😮👏👏🤣,2017-02-17 11:52:09,6,Rep,0.10636591166257857,0.3860892,0.971749484539032,0.04436856880784035
@Hyp0criteSlayer @realDonaldTrump and actually their headquarters is in Chicago regardless I don't have time for yo… https://t.co/g58UORfv8K,2017-02-17 11:52:15,6,Rep,0.1325266808271408,0.90101045,0.407710075378418,0.16919739544391632
@realDonaldTrump foxnews wasn't happy either! Best show i've ever watched,2017-02-17 11:52:17,7,Rep,0.4627766609191895,0.65498805,0.5239360928535461,0.03462403267621994
"@realDonaldTrump The people have voted, not the media. Remain STRONG! #MakeAmericaGreatAgain",2017-02-17 11:52:22,6,Rep,0.41623586416244507,0.35107237,0.8755197525024414,0.03421435877680778
@dapperlaughs @Chris194227 @realDonaldTrump oh really..london huh...then why in the F@$k are u commenting on OUR PRESIDENT?,2017-02-17 11:52:26,8,Rep,0.3367963433265686,0.079650514,0.25557589530944824,0.2530364394187927
@realDonaldTrump Press conference was a discombobulated mess! You are an inept leader who is putting our country in… https://t.co/xGjdz2ipBI,2017-02-17 11:52:30,8,Rep,0.3343241810798645,0.002054898,0.759682297706604,0.909956693649292
@realDonaldTrump STOP TRYING TO DISTRACT EVERYONE FROM YOUR SMALL HANDS,2017-02-17 11:52:31,6,Rep,0.3173540234565735,0.000839463,0.4968390166759491,0.16278983652591705
"@realDonaldTrump When over really well, like a fine tune machine. FAILED NEWS. https://t.co/yYVuz6xcQS",2017-02-17 11:52:50,8,Rep,0.2424390912055969,2.9436979999999998e-05,0.09648791700601578,0.4642277657985687
"@tonyposnanski @realDonaldTrump 
Don't kid yourself.Most of America LOVES watching the arrogant elitist Leftist hack press get bitch slapped",2017-02-17 11:52:55,12,Rep,0.17237621545791626,0.1282016,0.1701803356409073,0.9252476692199708
@realDonaldTrump what this leftist  @RupertMyers means is that it wasn't fun watching you mop the floor with his fav. Liberal reporter.,2017-02-17 11:52:59,9,Rep,0.227246567606926,0.0015603566,0.1307046264410019,0.3772730529308319
@morriscat63 @Reflog_18 @BriMAnderson @realDonaldTrump he has acted like an ass for the last month and bungled all kinds of shit,2017-02-17 08:47:10,8,Rep,0.08343439549207687,0.0022874963,0.5271255970001221,0.9529582858085632
Does anyone believe that this destabilizing shit show would be happening if @HillaryClinton had been elected? Anyone at all? #resistance,2017-02-17 08:48:11,9,Dem,0.4207200706005096,0.003965433,0.41495534777641296,0.9316802620887756
Are Democrats &amp; Media Making Up A Russian Love Story Because They Lost The Election? @POTUS @usacsmret @jr7jc  https://t.co/csotgIB9sV,2017-02-17 08:48:21,9,Nothing,0.2837773263454437,0.009766388,0.7387366294860841,0.16782799363136292
"In a way, @DrewGriffinCNN's report could be seen as a conduit from @DHSgov to @realDonaldTrump. A policy memo but without the dull language.",2017-02-17 08:48:27,10,Rep,0.1601412296295166,0.002496153,0.5796979069709778,0.1215910017490387
@realDonaldTrump does not know the first thing about anything if he is smart then I am Einstein and my IQ IS only 1… https://t.co/Xatmk4OcpX,2017-02-17 08:49:02,9,Rep,0.3249402344226837,0.1280828,0.5761533975601196,0.821747899055481
@williamlegate @realDonaldTrump you mean like having 4 American killed &amp; lie &amp; losing 6billion at state dept? U r dumbed down as HRC said!,2017-02-17 08:49:35,17,Rep,0.072125643491745,0.00045326519999999996,0.6107273697853088,0.3725404739379883
"So now Rush is real news, everyone else is ""fake media"" GET HIM OUT NOW! @GOP https://t.co/IvQEhAhDrO",2017-02-17 11:51:39,8,Nothing,0.4344488680362701,0.004389549600000001,0.6678804159164429,0.14028377830982208
"What. A. Loser. @realDonaldTrump 
I like the fascists who DONT withdraw their orders.
#MAGA https://t.co/4zKDhGnOGB",2017-02-17 11:51:41,6,Rep,0.061496857553720474,0.0016172389,0.4557116627693176,0.9618892073631288
@realDonaldTrump that's my home. Wish I could meet you. Safe travels!,2017-02-17 11:51:51,6,Rep,0.18154162168502808,0.57555914,0.4186371266841888,0.04096788167953491
@9thCircuitCourt  SHUT DOWN THE COURT 86% overturned  They are not doing their jobs!! WASTE OF TAX $$$$… https://t.co/waLxmRLJE7,2017-02-17 11:52:12,8,Nothing,0.1543581783771515,0.0018063954999999999,0.4426916241645813,0.4157976508140564
@IngrahamAngle @Morning_Joe @realDonaldTrump The Media and the left will ride this to the end; We  have to make sure they don't take us too.,2017-02-17 11:52:15,8,Rep,0.2975986897945404,0.10009468,0.6017559766769409,0.07954646646976471
"Trump lie #20,000. Truth- You have no plan for replacement.Even Trumpets want ACA which is Obamacare. Dance,… https://t.co/2s0pRWsOJt",2017-02-17 11:52:20,11,Dem,0.14068588614463806,1.1200372e-05,0.7446065545082092,0.6595445275306702
"@realDonaldTrump, you must have been watching the Russian media this morning.  Not what I'm hearing. https://t.co/Luxczgn6e5",2017-02-17 11:52:23,7,Rep,0.1964018940925598,0.02557842,0.5922478437423706,0.1779269576072693
@patrioticsap @Million774 @realDonaldTrump I have and I do. I know lies when I hear them. I'm not a democrat.,2017-02-17 11:52:29,5,Rep,0.4263837337493897,0.16464154,0.6370782256126404,0.29142361879348755
Will @realDonaldTrump fire the staff member who gave him #fakenews on his electoral college numbers? #maga #draintheswamp,2017-02-17 11:52:35,7,Rep,0.1647278219461441,0.00015438767,0.5746959447860718,0.09456450492143632
"@realDonaldTrump Got to see part of it during my lunch break, and absolutely loved it.",2017-02-17 11:52:48,7,Rep,0.2264649569988251,0.014068956499999999,0.4316902160644531,0.05263790488243103
...said one con man to another. https://t.co/GDhhu40zr2,2017-02-17 11:52:59,5,Nothing,0.26405802369117737,0.0004739824,0.4067554175853729,0.1963527500629425
@realDonaldTrump the media is strengthening your base They don't get it They're not hurting you they're helping you https://t.co/tx8CqoFwEr,2017-02-17 11:53:08,7,Rep,0.4635312259197235,1.6402620000000003e-05,0.7316755652427673,0.17118339240550995
@bradyboy09 Not at all! Limbaugh has been shit-washing the right-wing's brain since 1980. @rolandscahill @realDonaldTrump,2017-02-17 11:53:15,9,Rep,0.2061932533979416,0.00061897817,0.4814345538616181,0.9795734882354736
@realDonaldTrump Press Conf was awesome!  Thank you Mr. President for standing up for us!  And We the People have your back!,2017-02-17 11:53:19,10,Rep,0.35967525839805603,0.6993151,0.33952543139457697,0.05385984107851982
@realDonaldTrump they never are keep heat on go TRUMP,2017-02-17 11:53:36,5,Rep,0.35721415281295776,0.09529705,0.7434388995170593,0.1980767697095871
@Nikluk @MollyBrown28 @upayr @TheDemocrats I'm assuming your remarks are in reference to @HillaryClinton the Elitist Criminal,2016-08-30 14:41:44,5,Dem,0.13737766444683075,0.011061686999999999,0.3684186041355133,0.7536452412605286
I want the wall on the border with Germany similar to one president @realDonaldTrump plans to build between USA and… https://t.co/nH0BvDmLII,2017-02-17 08:46:53,10,Rep,0.2019544541835785,3.164602e-05,0.7888545393943787,0.0589793287217617
"@realDonaldTrump or transportation of intoxicating liquors within, the importation thereof into,",2017-02-17 08:47:13,6,Rep,0.08672092854976654,0.13796681,0.7502666115760803,0.18634971976280207
@FoxNewsInsider @seanhannity @realDonaldTrump we must recognize that Jim @Acosta was becoming the right CNN guy to deal with Donald,2017-02-17 08:47:27,9,Rep,0.22067642211914065,0.00023620471,0.9029557704925536,0.2167947143316269
"@JehsinR @TIME @realDonaldTrump  or you're smart enough to not buy it, but sell it anyway",2017-02-17 08:48:55,6,Rep,0.3316029012203217,0.021234182999999997,0.4536947011947632,0.2100724130868912
"@realDonaldTrump 

It was awesome!

Strong leadership!

Keeping you &amp; your administration in my prayers.",2017-02-17 11:51:39,7,Rep,0.2800127863883972,0.9893662,0.9182268381118774,0.01546143926680088
@realDonaldTrump LOL SOMEONE BLOCKED ME FOR 10 HOURS FOR CALLED A GUY AN IDIOT LOL,2017-02-17 11:51:48,9,Rep,0.2466370016336441,1.5705057999999998e-05,0.2537981867790222,0.9456363916397096
"@DTrumpExposed @realDonaldTrump lol, wow great detailed response.",2017-02-17 11:51:55,5,Rep,0.18742983043193814,0.047875203,0.1053704246878624,0.10127830505371094
Brace yourselves - incoming Friday tweetstorm from the #SoCalledPOTUS  Wasn't yesterday's unhinged presser enough f… https://t.co/d5Jlkhxf2O,2017-02-17 11:52:03,9,Nothing,0.10462893545627594,0.00037967222,0.32362911105155945,0.6997925639152527
"@realDonaldTrump  is wasting his time criticizing media. - Australian PM. The sooner @POTUS understands the better
 https://t.co/mTQcLICE1r",2017-02-17 11:52:17,9,Rep,0.39512357115745533,0.00030136847999999997,0.6173048615455627,0.14062726497650144
@IngrahamAngle @Morning_Joe @realDonaldTrump Sounds like Joe needs to be put in a strait-jacket! Just saying😏,2017-02-17 11:52:29,8,Rep,0.2801277935504913,0.0008318959,0.17916209995746613,0.05746880173683167
@MatthewDicks @realDonaldTrump every Facebook posts and comment I saw  yesterday was extremely positive.,2017-02-17 11:52:39,8,Rep,0.1861286610364914,0.0010867448,0.27607840299606323,0.02367847785353661
@realDonaldTrump God bless you Mr. President. You are doing an amazing job. Much love to you and your beautiful family.,2017-02-17 11:52:41,10,Rep,0.26752498745918274,0.26863107,0.9165409207344056,0.007989914156496525
@realDonaldTrump it was one of the best with more smacking down of the dishonest media to come. #Enjoyingmyself #fuckoffliberals #Winning,2017-02-17 11:52:56,6,Rep,0.6477455496788025,0.9868237,0.5005161166191101,0.6119056344032288
This buffoon is on another planet. @VicenteFoxQue &amp; Mexico knows you are FAKE!!! https://t.co/lqJ5jm4xvg,2017-02-17 11:53:03,7,Nothing,0.13658717274665833,0.0012232973,0.8490909934043884,0.2455533742904663
@realdonaldtrump Best press conference I've seen in my life time. We need more politicians like Donald Trump.,2017-02-17 11:53:09,11,Rep,0.3071372509002685,0.73621947,0.6791499853134155,0.2029014676809311
@butchparnell @realDonaldTrump Enough already! Time to back our President to help do what is best for the people.#takeyourmeds,2017-02-17 11:53:12,8,Rep,0.5615413784980774,0.8397503000000001,0.8156335949897766,0.07372258603572845
"@realDonaldTrump Gross display of hubris &amp; bully tactics, combined with ignorance, lack of humility &amp; terrifying access to nuclear weapons.",2017-02-17 11:53:14,15,Rep,0.09624192118644714,9.7091615e-05,0.3528023958206177,0.7708761692047119
@realDonaldTrump Still waiting for presidential behavior and released tax returns Broken promises!,2017-02-17 11:53:18,9,Rep,0.2261542677879333,0.0024791958,0.711481511592865,0.1345307230949402
@realDonaldTrump the media is it's not all fake you're a hundred percent liar though,2017-02-17 11:53:27,7,Rep,0.08460172265768051,0.0010448183,0.7378364801406859,0.9723872542381288
@JonStewartHBO @PeterofArabia @realDonaldTrump I read this tweet and thought it was brilliant! Pleasantly surprised to see the author!,2017-02-17 11:53:31,8,Rep,0.10804453492164612,0.6464786,0.7021716833114624,0.018000226467847824
"@trumpanov @Reince @HillaryClinton 
You mean the tax returns that no-one gives a fuck about? https://t.co/I4uzvhUJBb",2016-08-30 14:41:43,6,Dem,0.2609114646911621,0.0063928687,0.33816054463386536,0.9731017351150512
@PearceMelodies @realDonaldTrump the whole world has been laughing at him but this is not longer funny. He is a real danger to the world..,2017-02-17 08:47:51,9,Rep,0.4174467623233795,0.17600363,0.5708829760551453,0.05092386156320572
@Everso1Clarence @alexgibneyfilm @realDonaldTrump I like how you assume we are democrats. LMAO. Not!,2017-02-17 08:49:40,5,Rep,0.5309022068977356,0.6129669,0.6641179919242859,0.19876837730407715
"Just feel we're so lucky to pay nothing for medicines in #Wales &amp; relatively little in #England.
But what a way to… https://t.co/w4aBKTfU3e",2017-02-17 08:49:44,9,Nothing,0.2144177407026291,0.23840527,0.4623609781265259,0.12005923688411713
@realDonaldTrump the only thing trump gets from price are stock tips. You just sealed your fate for not having a replacement for ACA,2017-02-17 11:52:05,11,Rep,0.08455555140972137,0.0010750127,0.8256517052650452,0.18395279347896576
@realDonaldTrump Keep fight 4 the truth &amp; 4 Us &amp; WE will call R Reps &amp; tell them back U or They will B OUT,2017-02-17 11:52:20,16,Rep,0.22717629373073575,0.04627987,0.9004557728767395,0.09426306188106537
@JoeWeberIII @BrandonTXNeely @realDonaldTrump Fake news is your defence? Lol. Seems legit,2017-02-17 11:52:37,6,Rep,0.049485847353935235,7.967095e-05,0.1823447048664093,0.27936407923698425
@realDonaldTrump oh you pathetic sad little snowflake. That performance sealed your impeachment,2017-02-17 11:52:38,8,Rep,0.27219539880752563,0.0020238842999999998,0.08516225218772888,0.9136459231376648
@realDonaldTrump Once you release your taxes we will know how sincere you are about helping working-class Americans.,2017-02-17 11:52:53,8,Rep,0.2818553149700165,0.03249047,0.4620836675167084,0.14598464965820312
@RupertMyers @realDonaldTrump When you come out for air..we'll break the news easy to ya..TRUMP WON!!!  YEAH!!,2017-02-17 11:53:10,8,Rep,0.2323261648416519,0.092986986,0.3108145892620087,0.1771879643201828
@realDonaldTrump You were great yesterday!!!!   I am totally with you!  Don't let the bastards get you down!  MAGA!!!,2017-02-17 11:53:14,7,Rep,0.3918416202068329,0.7756441,0.4555811285972595,0.9542924165725708
"@realDonaldTrump @nytimes Donal Trump stars in ""Titanic."" ""We've got to stop these low life leakers before there's a bigger leak!""",2017-02-17 11:53:20,11,Rep,0.21330223977565765,0.00247579,0.4775911569595337,0.4251757264137268
@realDonaldTrump no they are not but that's OK... Stick to your agenda and ignore them,2017-02-17 11:53:24,5,Rep,0.13898573815822599,0.0006870203999999999,0.6358953714370728,0.15650959312915802
"@realDonaldTrump you speak like a grade schooler, you're an embarrassment to America #dumbass",2017-02-17 11:53:26,6,Rep,0.6090964674949646,0.0025645543,0.5135798454284668,0.5706578493118286
"@realDonaldTrump Don, you do not have to be liked. Only Kennedy was liked and YOU ARE NOTHING LIKE KENNEDY! Rush is… https://t.co/dKeRHFMGQE",2017-02-17 11:53:29,8,Rep,0.3338319063186645,0.011629836999999999,0.5386125445365906,0.11223999410867692
@RuwaydaMustafah @realDonaldTrump #FAKENEWS HE HAD FAMILY COMMITTMENT BUT THANKS FOR UR OPINION. DO U SIT DOWN TO PEE,2017-02-17 11:53:46,8,Rep,0.37963148951530457,0.6717705,0.4547153115272522,0.08093995600938797
"@realDonaldTrump Rational, mentally healthy people are not happy.",2017-02-17 11:53:47,6,Rep,0.3167905807495117,0.51656944,0.4711660444736481,0.2412836402654648
@realDonaldTrump even Shep Smith thought you were WRONG yesterday- @FoxNews you live in a fantasy world and distort the truth. Shame on you,2017-02-17 11:53:51,12,Rep,0.20112444460392,0.0005831769999999999,0.5228270292282104,0.7957008481025696
@Reince Take care of your dislike disfuncional candidate. @HillaryClinton is doing fine thank you. #ManyPeopleAreSaying you are losing.,2016-08-30 14:41:44,8,Dem,0.2290561944246292,0.0007100188,0.8306851983070374,0.0838356614112854
@POTUS @realDonaldTrump Put a common man with uncommon intelligence in for Flynn! Choose me for National Security Advisor. I will amaze!,2017-02-17 08:46:54,11,Rep,0.20811595022678372,0.0012997796,0.314209520816803,0.17623277008533478
Careful what you tweet. It can sometimes be prophetic https://t.co/luLhyuHYKC,2017-02-17 08:47:27,5,Nothing,0.14308170974254608,0.16315393,0.33232611417770386,0.06562539935112001
"@realDonaldTrump You are a grossly obese, unhealthy old man - mentally and physically.  Get your shit together man.",2017-02-17 08:48:00,11,Rep,0.3439367115497589,0.031669308,0.553666889667511,0.9701521992683412
"@realDonaldTrump Ok short bus, like the Muslin ban WONT HAPPEN. No 1 is actually taking u serious at this point. They're trying 2 get u out.",2017-02-17 11:51:41,18,Rep,0.11221281439065932,0.17595305,0.4643683433532715,0.07168235629796982
@realDonaldTrump He clearly lives in his breitbart / Jones parallel world,2017-02-17 11:51:52,6,Rep,0.27500927448272705,0.55576646,0.7034962177276611,0.0719766616821289
@realDonaldTrump and 20 million Americans are terrified of losing their access to healthcare.,2017-02-17 11:51:53,7,Rep,0.1232147365808487,0.57121074,0.8612500429153442,0.11601316928863525
"@JoyAnnReid @SMShow @maddow @realDonaldTrump 
So stopping the TPP ✔
Increased Market confidence ✔
keeping campaign promises check",2017-02-17 11:52:01,9,Rep,0.1769152283668518,0.00031307095000000004,0.9033088088035583,0.03325675055384636
@DELTA_PUGS @OfficialSPGB @realDonaldTrump Read up on history &amp; current events and you'll realize that #autocracy &amp; #idiocracy are garbage.,2017-02-17 11:52:03,8,Rep,0.1321319192647934,0.08812816,0.6724963188171387,0.7564768195152283
@realDonaldTrump fake President.  You're an ass.  Get mental help,2017-02-17 11:52:11,6,Rep,0.4045234024524689,0.0003705996,0.5766395330429077,0.8639453053474426
"@realDonaldTrump That's why I voted for you, not to just shake things up but to shake the HELL out of it! 
LLTR!",2017-02-17 11:52:15,7,Rep,0.42872026562690735,0.0009380673,0.536371648311615,0.34852275252342224
"@muneebur481 @RuwaydaMustafah @realDonaldTrump Let us be honest my dear, Muslims attacked Non-Muslim countries B 4 even USA was created",2017-02-17 11:52:31,14,Rep,0.1280445009469986,0.13125247,0.6321601867675781,0.42482638359069824
"@mikd33 @realDonaldTrump cute pic but media filled with partisan opinions, hate &amp;vitriol. can't fool the people, we see OURSELVES&amp;HATE MSM",2017-02-17 11:52:36,16,Rep,0.17515873908996582,0.00072713336,0.5615019202232361,0.8706865906715393
"Small minded, small hands, small crowd sizes. @realDonaldTrump",2017-02-17 11:52:46,7,Rep,0.3546019792556763,4.9348374999999995e-05,0.7660324573516846,0.1840745210647583
"@realDonaldTrump - nothing you said made sense, you couldn't answer a question with a straight answer.",2017-02-17 11:52:49,8,Rep,0.3137477934360504,0.39327148,0.31090041995048523,0.08496027439832687
"Good job yesterday Mr. President,  keep sticking it to those media reprobates!!!! https://t.co/iebexqkSUy",2017-02-17 11:52:55,9,Nothing,0.5665323138237,0.99330753,0.7157298922538757,0.10997871309518814
@Mikel_Jollett But Saudi Arabia financing @HillaryClinton's campaign is ok? What about her daughter having a $3 million wedding? #LockHerUp,2017-02-17 11:53:01,9,Dem,0.10426457226276398,0.78940773,0.6934872269630432,0.012713061645627022
